# Copyright (C) 2024  Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition,,,,,,,,,,,
# File: C:\intelFPGA_lite\Internship\SRAM_FPGA\PinAssign.csv,,,,,,,,,,,
# Generated on: Thu Aug 29 09:58:16 2024,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ad[19],Output,PIN_T8,,,PIN_M4,,,,,,
ad[18],Output,PIN_AB8,,,PIN_C3,,,,,,
ad[17],Output,PIN_AB9,,,PIN_H16,,,,,,
ad[16],Output,PIN_AC11,,,PIN_E19,,,,,,
ad[15],Output,PIN_AB11,,,PIN_G21,,,,,,
ad[14],Output,PIN_AA4,,,PIN_AD17,,,,,,
ad[13],Output,PIN_AC3,,,PIN_C16,,,,,,
ad[12],Output,PIN_AB4,,,PIN_F2,,,,,,
ad[11],Output,PIN_AD3,,,PIN_D15,,,,,,
ad[10],Output,PIN_AF2,,,PIN_E10,,,,,,
ad[9],Output,PIN_T7,,,PIN_Y23,,,,,,
ad[8],Output,PIN_AF5,,,PIN_AB12,,,,,,
ad[7],Output,PIN_AC5,,,PIN_M23,,,,,,
ad[6],Output,PIN_AB5,,,PIN_G27,,,,,,
ad[5],Output,PIN_AE6,,,PIN_K27,,,,,,
ad[4],Output,PIN_AB6,,,PIN_M28,,,,,,
ad[3],Output,PIN_AC7,,,PIN_J26,,,,,,
ad[2],Output,PIN_AE7,,,PIN_M21,,,,,,
ad[1],Output,PIN_AD7,,,PIN_N26,,,,,,
ad[0],Output,PIN_AB7,,,PIN_N25,,,,,,
ce_n,Output,PIN_AF8,,,PIN_T25,,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
dio[15],Bidir,PIN_AH3,,,PIN_AB20,,,,,,
dio[14],Bidir,PIN_AF4,,,PIN_AA14,,,,,,
dio[13],Bidir,PIN_AG4,,,PIN_AF13,,,,,,
dio[12],Bidir,PIN_AH4,,,PIN_P21,,,,,,
dio[11],Bidir,PIN_AF6,,,PIN_C19,,,,,,
dio[10],Bidir,PIN_AG6,,,PIN_H13,,,,,,
dio[9],Bidir,PIN_AH6,,,PIN_AF4,,,,,,
dio[8],Bidir,PIN_AF7,,,PIN_AA16,,,,,,
dio[7],Bidir,PIN_AD1,,,PIN_L23,,,,,,
dio[6],Bidir,PIN_AD2,,,PIN_M27,,,,,,
dio[5],Bidir,PIN_AE2,,,PIN_K28,,,,,,
dio[4],Bidir,PIN_AE1,,,PIN_L27,,,,,,
dio[3],Bidir,PIN_AE3,,,PIN_M26,,,,,,
dio[2],Bidir,PIN_AE4,,,PIN_L28,,,,,,
dio[1],Bidir,PIN_AF3,,,PIN_M25,,,,,,
dio[0],Bidir,PIN_AG3,,,PIN_L24,,,,,,
lb_n,Output,PIN_AD4,,,PIN_F7,,,,,,
oe_n,Output,PIN_AD5,,,PIN_K25,,,,,,
psw[3],Input,PIN_M23,,,PIN_C27,,,,,,
psw[2],Input,PIN_M21,,,PIN_L22,,,,,,
psw[1],Input,PIN_N21,,,PIN_Y10,,,,,,
psw[0],Input,PIN_R24,,,PIN_Y1,,,,,,
segout[13],Output,PIN_U24,,,PIN_U24,2.5 V,,,,,
segout[12],Output,PIN_U23,,,PIN_U23,2.5 V,,,,,
segout[11],Output,PIN_W25,,,PIN_W25,2.5 V,,,,,
segout[10],Output,PIN_W22,,,PIN_W22,2.5 V,,,,,
segout[9],Output,PIN_W21,,,PIN_W21,2.5 V,,,,,
segout[8],Output,PIN_Y22,,,PIN_Y22,2.5 V,,,,,
segout[7],Output,PIN_M24,,,PIN_M24,2.5 V,,,,,
segout[6],Output,PIN_H22,,,PIN_H22,2.5 V,,,,,
segout[5],Output,PIN_J22,,,PIN_J22,2.5 V,,,,,
segout[4],Output,PIN_L25,,,PIN_L25,2.5 V,,,,,
segout[3],Output,PIN_L26,,,PIN_L26,2.5 V,,,,,
segout[2],Output,PIN_E17,,,PIN_E17,2.5 V,,,,,
segout[1],Output,PIN_F22,,,PIN_F22,2.5 V,,,,,
