# Copyright (C) 2024  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition
# File: C:\intelFPGA_lite\Internship\SRAM_FPGA\SRAM_FPGA.csv
# Generated on: Thu Aug 29 13:27:54 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ad[19],Output,PIN_T8,2,B2_N1,PIN_AD22,,,,,,
ad[18],Output,PIN_AB8,3,B3_N2,PIN_Y14,,,,,,
ad[17],Output,PIN_AB9,3,B3_N2,PIN_E10,,,,,,
ad[16],Output,PIN_AC11,3,B3_N0,PIN_AF4,,,,,,
ad[15],Output,PIN_AB11,3,B3_N1,PIN_AC19,,,,,,
ad[14],Output,PIN_AA4,2,B2_N1,PIN_AH23,,,,,,
ad[13],Output,PIN_AC3,2,B2_N1,PIN_U25,,,,,,
ad[12],Output,PIN_AB4,2,B2_N2,PIN_C15,,,,,,
ad[11],Output,PIN_AD3,2,B2_N1,PIN_R28,,,,,,
ad[10],Output,PIN_AF2,2,B2_N2,PIN_AC14,,,,,,
ad[9],Output,PIN_T7,2,B2_N0,PIN_AH21,,,,,,
ad[8],Output,PIN_AF5,3,B3_N2,PIN_D8,,,,,,
ad[7],Output,PIN_AC5,2,B2_N2,PIN_C22,,,,,,
ad[6],Output,PIN_AB5,2,B2_N2,PIN_E25,,,,,,
ad[5],Output,PIN_AE6,3,B3_N2,PIN_H19,,,,,,
ad[4],Output,PIN_AB6,2,B2_N2,PIN_C18,,,,,,
ad[3],Output,PIN_AC7,3,B3_N2,PIN_D24,,,,,,
ad[2],Output,PIN_AE7,3,B3_N1,PIN_F18,,,,,,
ad[1],Output,PIN_AD7,3,B3_N2,PIN_D21,,,,,,
ad[0],Output,PIN_AB7,3,B3_N1,PIN_J19,,,,,,
ce_n,Output,PIN_AF8,3,B3_N1,PIN_AC8,,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
dio[15],Bidir,PIN_AH3,3,B3_N2,PIN_T25,,,,,,
dio[14],Bidir,PIN_AF4,3,B3_N2,PIN_N25,,,,,,
dio[13],Bidir,PIN_AG4,3,B3_N2,PIN_B7,,,,,,
dio[12],Bidir,PIN_AH4,3,B3_N2,PIN_U7,,,,,,
dio[11],Bidir,PIN_AF6,3,B3_N2,PIN_AH26,,,,,,
dio[10],Bidir,PIN_AG6,3,B3_N2,PIN_AD12,,,,,,
dio[9],Bidir,PIN_AH6,3,B3_N2,PIN_M26,,,,,,
dio[8],Bidir,PIN_AF7,3,B3_N1,PIN_V25,,,,,,
dio[7],Bidir,PIN_AD1,2,B2_N1,PIN_C17,,,,,,
