# Copyright (C) 2024  Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Intel Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and any partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Intel Program License ,,,,,,,,,,,
# Subscription Agreement, the Intel Quartus Prime License Agreement,,,,,,,,,,
# the Intel FPGA IP License Agreement, or other applicable license,,,,,,,,,,
# agreement, including, without limitation, that your use is for,,,,,,,,
# the sole purpose of programming logic devices manufactured by,,,,,,,,,,,
# Intel and sold by Intel or its authorized distributors.  Please,,,,,,,,,,,
# refer to the applicable agreement for further details, at,,,,,,,,,,
# https://fpgasoftware.intel.com/eula.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 23.1std.1 Build 993 05/14/2024 SC Lite Edition,,,,,,,,,,,
# File: C:\intelFPGA_lite\Internship\SRAM_LCD_FPGA\SRAM_LCD_FPGA.csv,,,,,,,,,,,
# Generated on: Thu Sep  5 18:06:52 2024,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ad_sram[19],Output,PIN_T8,,,PIN_AH19,,,,,,
ad_sram[18],Output,PIN_AB8,,,PIN_AF11,,,,,,
ad_sram[17],Output,PIN_AB9,,,PIN_J24,,,,,,
ad_sram[16],Output,PIN_AC11,,,PIN_C12,,,,,,
ad_sram[15],Output,PIN_AB11,,,PIN_E25,,,,,,
ad_sram[14],Output,PIN_AA4,,,PIN_AF12,,,,,,
ad_sram[13],Output,PIN_AC3,,,PIN_C15,,,,,,
ad_sram[12],Output,PIN_AB4,,,PIN_AB12,,,,,,
ad_sram[11],Output,PIN_AD3,,,PIN_D4,,,,,,
ad_sram[10],Output,PIN_AF2,,,PIN_R1,,,,,,
ad_sram[9],Output,PIN_T7,,,PIN_H13,,,,,,
ad_sram[8],Output,PIN_AF5,,,PIN_AF14,,,,,,
ad_sram[7],Output,PIN_AC5,,,PIN_W28,,,,,,
ad_sram[6],Output,PIN_AB5,,,PIN_AA26,,,,,,
ad_sram[5],Output,PIN_AE6,,,PIN_Y25,,,,,,
ad_sram[4],Output,PIN_AB6,,,PIN_W27,,,,,,
ad_sram[3],Output,PIN_AC7,,,PIN_W26,,,,,,
ad_sram[2],Output,PIN_AE7,,,PIN_Y26,,,,,,
ad_sram[1],Output,PIN_AD7,,,PIN_AD28,,,,,,
ad_sram[0],Output,PIN_AB7,,,PIN_AA25,,,,,,
blon_lcd,Output,,,,PIN_C4,,,,,,
ce_n_sram,Output,PIN_AF8,,,PIN_AG18,,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
dio_lcd[7],Bidir,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
dio_lcd[6],Bidir,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
dio_lcd[5],Bidir,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
dio_lcd[4],Bidir,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
dio_lcd[3],Bidir,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
dio_lcd[2],Bidir,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
dio_lcd[1],Bidir,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
dio_lcd[0],Bidir,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
dio_sram[15],Bidir,PIN_AH3,,,PIN_AG6,,,,,,
dio_sram[14],Bidir,PIN_AF4,,,PIN_C5,,,,,,
dio_sram[13],Bidir,PIN_AG4,,,PIN_F5,,,,,,
